n_sim,p_max,w_max,gamma,delta,T,seed,time,obj,constr,schedule,deferred
10,20,10,4,0.3,50,15,0.087939977645874,113,25,"['B2', 'A4', 'A5', 'B6', 'A8', 'A9', 'A10', 'B9']","['B1', 'B3', 'A1', 'A2', 'B4', 'A3', 'B5', 'A6', 'A7', 'B7', 'B8', 'B10']"
10,20,10,4,0.3,50,16,0.0753726959228515,37,24,"['A1', 'A2', 'B2', 'A5', 'A6', 'B6', 'B7', 'A7', 'B10', 'A9', 'A10']","['A3', 'A4', 'B1', 'B3', 'B4', 'B5', 'B8', 'A8', 'B9']"
10,20,10,4,0.3,50,17,0.093735933303833,142,25,"['B2', 'B5', 'A7', 'B7', 'B8', 'B9', 'A9']","['B1', 'A1', 'B3', 'B4', 'A2', 'B6', 'A3', 'A4', 'A5', 'A6', 'A8', 'B10', 'A10']"
10,20,10,4,0.3,50,18,0.0865058898925781,-99999,-99999,[],[]
10,20,10,4,0.3,50,19,0.0815560817718505,50,24,"['A1', 'B1', 'A2', 'B3', 'A3', 'A6', 'B8', 'A9', 'A10', 'B9', 'B10']","['B2', 'B4', 'A4', 'B5', 'B6', 'A5', 'B7', 'A7', 'A8']"
10,20,10,4,0.3,50,20,0.1384961605072021,311,25,"['B1', 'A8', 'B6', 'B8', 'B9', 'B10']","['A1', 'A2', 'A3', 'A4', 'B2', 'A5', 'A6', 'A7', 'B3', 'B4', 'B5', 'A9', 'A10', 'B7']"
10,20,10,4,0.3,50,21,0.083014965057373,197,23,"['A1', 'B6', 'A5', 'A6', 'A7', 'B9', 'A9']","['B1', 'B2', 'A2', 'A3', 'B3', 'B4', 'A4', 'B5', 'B7', 'B8', 'A8', 'B10', 'A10']"
10,20,10,4,0.3,50,22,0.1028738021850586,161,23,"['A4', 'B3', 'B4', 'B5', 'A6', 'B8', 'B9', 'A9']","['A1', 'B1', 'B2', 'A2', 'A3', 'A5', 'A7', 'B6', 'B7', 'A8', 'B10', 'A10']"
10,20,10,4,0.3,50,23,0.1059358119964599,183,24,"['A3', 'B4', 'B7', 'B8', 'B9', 'B10', 'A10']","['A1', 'B1', 'A2', 'B2', 'A4', 'A5', 'B3', 'B5', 'A6', 'B6', 'A7', 'A8', 'A9']"
10,20,10,4,0.3,50,24,0.0718839168548584,-99999,-99999,[],[]
